gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.195,sol2,0.0,0.22,222.16
gfx950,256,2,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,5.4106,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0312,0.34,174.92
gfx950,256,4,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.0217,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0391,0.73,194.23
gfx950,256,8,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.0048,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0254,1.47,206.45
gfx950,256,16,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.0591,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0273,2.9,227.1
gfx950,256,32,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.0467,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0317,5.82,273.52
gfx950,256,48,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,5.7805,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0306,7.62,278.83
gfx950,256,64,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.491,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.032,10.69,335.68
gfx950,256,80,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,5.8249,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0334,12.6,356.16
gfx950,256,96,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,6.1631,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.029,14.29,374.17
